resource_id,resource_name,resource_type,cpu_utilization,disk_read_bytes,disk_write_bytes,storage_used_gb,status,timestamp
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkSecurityGroups/cloud-cost-opt-nsg,cloud-cost-opt-nsg,Microsoft.Network/networkSecurityGroups,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:22:03.518796
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,Microsoft.Storage/storageAccounts,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:22:03.518790
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/CLOUD-COST-OPT/providers/Microsoft.Compute/disks/cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,Microsoft.Compute/disks,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:20:14.621485
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Compute/virtualMachines/cloud-cost-opt,cloud-cost-opt,Microsoft.Compute/virtualMachines,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:20:14.621483
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkInterfaces/cloud-cost-opt891_z1,cloud-cost-opt891_z1,Microsoft.Network/networkInterfaces,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:20:14.621481
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_centralindia,NetworkWatcher_centralindia,Microsoft.Network/networkWatchers,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:20:14.621479
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/virtualNetworks/cloud-cost-opt-vnet,cloud-cost-opt-vnet,Microsoft.Network/virtualNetworks,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:20:14.621476
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/publicIPAddresses/cloud-cost-opt-ip,cloud-cost-opt-ip,Microsoft.Network/publicIPAddresses,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:20:14.621473
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkSecurityGroups/cloud-cost-opt-nsg,cloud-cost-opt-nsg,Microsoft.Network/networkSecurityGroups,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:20:14.621470
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,Microsoft.Storage/storageAccounts,0.0,0.0,0.0,0.0,unknown,2026-06-26 16:20:14.621463
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,Microsoft.Storage/storageAccounts,0.0,0.0,0.0,0.0,unknown,2026-06-26 15:58:51.501883
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,Microsoft.Storage/storageAccounts,0.0,0.0,0.0,0.0,unknown,2026-06-11 20:08:40.909851
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,Microsoft.Storage/storageAccounts,0.0,0.0,0.0,0.0,unknown,2026-06-11 19:40:48.133320
