resource_id,resource_name,recommendation_type,message,estimated_monthly_savings,timestamp
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697081
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697078
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697076
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697074
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkSecurityGroups/cloud-cost-opt-nsg,cloud-cost-opt-nsg,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697072
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/publicIPAddresses/cloud-cost-opt-ip,cloud-cost-opt-ip,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697070
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/virtualNetworks/cloud-cost-opt-vnet,cloud-cost-opt-vnet,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697068
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_centralindia,NetworkWatcher_centralindia,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697066
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkInterfaces/cloud-cost-opt891_z1,cloud-cost-opt891_z1,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697064
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Compute/virtualMachines/cloud-cost-opt,cloud-cost-opt,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697062
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/CLOUD-COST-OPT/providers/Microsoft.Compute/disks/cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,Unattached Disk,This disk appears unattached and can be deleted or archived to reduce cost.,10.0,2026-06-26 16:22:28.697060
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/CLOUD-COST-OPT/providers/Microsoft.Compute/disks/cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697058
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697055
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkSecurityGroups/cloud-cost-opt-nsg,cloud-cost-opt-nsg,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697053
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/publicIPAddresses/cloud-cost-opt-ip,cloud-cost-opt-ip,CPU Underutilized,Consider shutting down or resizing this VM due to sustained low CPU utilization.,0.0,2026-06-26 16:22:28.697051
